Name: Barsha
Designation: Nurse
Department: Cardiology
Contact: 01880-634850
Available: 8AM-5PM
Off Day: Friday

Name: Labiba
Designation: Nurse
Department: Gynecology
Contact: 01880-634851
Available: 8AM-5PM
Off Day: Sunday

Name: Muhaiminul
Designation: Nurse
Department: Gastroenterology
Contact: 01880-634852
Available: 9AM-6PM
Off Day: Monday

Name: Nishad
Designation: Nurse
Department: Cardiology
Contact: 01880-634853
Available: 8AM-5PM
Off Day: Wednesday

Name: Bibha
Designation: Nurse
Department: Gynecology
Contact: 01880-634854
Available: 8AM-5PM
Off Day: Thursday

Name: Shamim
Designation: Nurse
Department: Gastroenterology
Contact: 01880-634855
Available: 9AM-6PM
Off Day: Thursday

Name: Namrata
Designation: Nurse
Department: General Surgery
Contact: 01880-634856
Available: 9AM-6PM
Off Day: Thursday

Name: Saliha
Designation: Nurse
Department: General Surgery
Contact: 01880-634857
Available: 9AM-6PM
Off Day: Saturday

Name: Tahsin Ahmed
Designation: Nurse
Department: Hematology
Contact: 01880-634858
Available: 8AM-5PM
Off Day: Tuesday


Name: Sadia Naznin
Designation: Nurse
Department: Gastroenterology
Contact: 01880-634861
Available: 2PM-11PM
Off Day: Tuesday

Name: Naznin
Designation: Nurse
Department: Ward & Cabin
Contact: 01880-634862
Available: 8AM-5PM 
Off Day: Friday

Name: Nisha
Designation: Nurse
Department: Ward & Cabin
Contact: 01880-634863
Available: 8AM-5PM 
Off Day: Tuesday

Name: Nisha
Designation: Nurse
Department: Ward & Cabin
Contact: 01880-634864
Available: 8AM-5PM 
Off Day: Sunday

Name: Sadiya
Designation: Nurse
Department: Cardiology
Contact: 01880-634859
Available: 2PM-11PM
Off Day: Wednesday

Name: Rodela
Designation: Nurse
Department: Cardiology
Contact: 01880-634860
Available: 2PM-11PM
Off Day: Tuesday

Name: Atif
Designation: Nurse
Department: General Surgery
Contact: 01880-634865
Available: 3PM-12AM
Off Day: Tuesday

Name: Nazia
Designation: Nurse
Department: General Surgery
Contact: 01880-634866
Available: 3PM-12AM
Off Day: Saturday

Name: Shompa
Designation: Nurse
Department: Hematology
Contact: 01880-634867
Available: 3PM-12AM
Off Day: Wednesday

Name: Rafsan
Designation: Nurse
Department: Cardiology
Contact: 01880-634868
Available: 4PM-12AM
Off Day: Tuesday

Name: Nawrin
Designation: Nurse
Department: Gynecology
Contact: 01880-634869
Available: 4PM-12AM
Off Day: Sunday

Name: Jennifer
Designation: Nurse
Department: Ward & Cabin
Contact: 01880-634870
Available: 4PM-12AM
Off Day: Monday

Name: Julia
Designation: Nurse
Department: Ward & Cabin
Contact: 01880-634881
Available: 4PM-12AM
Off Day: Tuesday

Name: Farzana
Designation: Nurse
Department: Cardiology
Contact: 01880-634871
Available: 6PM-12AM
Off Day: Saturday

Name: Mimi
Designation: Nurse
Department: Gastroenterology
Contact: 01880-634872
Available: 6PM-12AM
Off Day: Monday

Name: Shirin
Designation: Nurse
Department: Gynecology
Contact: 01880-634873
Available: 6PM-12AM
Off Day: Wednesday

Name: Imran
Designation: Nurse
Department: General Surgery
Contact: 01880-634874
Available: 4PM-12AM
Off Day: Friday

Name: Rubina
Designation: Nurse
Department: Hematology
Contact: 01880-634875
Available: 4PM-12AM
Off Day: Sunday

Name: Jahangir
Designation: Nurse
Department: General Surgery
Contact: 01880-634876
Available: 6PM-12AM
Off Day: Tuesday

Name: Nargis
Designation: Nurse
Department: Ward & Cabin
Contact: 01880-634877
Available: 6PM-12AM
Off Day: Thursday

Name: Prihana
Designation: Nurse
Department: Ward & Cabin
Contact: 01880-634878
Available: 6PM-12AM
Off Day: Monday

Name: Farida
Designation: Nurse
Department: Gynecology
Contact: 01880-634879
Available: 11PM-8AM
Off Day: Saturday

Name: Karim
Designation: Nurse
Department: Emergency
Contact: 01880-634880
Available: 11PM-8AM
Off Day: Wednesday

Name: Disha
Designation: Nurse
Department: Hematology
Contact: 01880-634882
Available: 11PM-8AM
Off Day: Friday

Name: Suhana
Designation: Nurse
Department: General Surgery
Contact: 01880-634883
Available: 11PM-8AM
Off Day: Monday

Name: Sofia
Designation: Nurse
Department: General Surgery
Contact: 01880-634883
Available: 11PM-8AM
Off Day: Thursday

Name: Lamia
Designation: Nurse
Department: General Surgery
Contact: 01880-634883
Available: 11PM-8AM
Off Day: Saturday

Name: Afia
Designation: Nurse
Department: Ward & Cabin
Contact: 01880-634884
Available: 11PM-8AM
Off Day: Friday

Name: Arman
Designation: Nurse
Department: Ward & Cabin
Contact: 01880-634886
Available: 11PM-8AM
Off Day: Monday

Name: Ramiya
Designation: Nurse
Department: Ward & Cabin
Contact: 01880-634887
Available: 11PM-8AM
Off Day: Thursday
