Name: Shafiq
Designation: Receptionist
Contact: 01980-634850
Available: 8AM-5PM
Off Day: Wednesday

Name: Aklima
Designation: Receptionist
Contact: 01980-634851
Available: 8AM-5PM
Off Day: Sunday

Name: Simi
Designation: Receptionist
Contact: 01980-634852
Available: 8AM-5PM
Off Day: Friday

Name: Hridoy
Designation: Receptionist
Contact: 01980-634853
Available: 3PM-12AM
Off Day: Monday

Name: Chaity
Designation: Receptionist
Contact: 01980-634854
Available: 3PM-12AM
Off Day: Thursday

Name: Anu
Designation: Receptionist
Contact: 01980-634855
Available: 3PM-12AM
Off Day: Saturday

Name: Asma
Designation: Receptionist
Contact: 01980-634856
Available: 11PM-8AM
Off Day: Tuesday

Name: Hanif
Designation: Receptionist
Contact: 01980-634857
Available: 11PM-8AM
Off Day: Monday

Name: Anu
Designation: Receptionist
Contact: 01980-634858
Available: 11PM-8AM
Off Day: Friday
